"grape_variety","index","location","price","rated_by","ratings","timestamp","timestampString","uid","url","url_uid","wine_vintage","wine_vintage_link"
"Pinot Noir",17,"Santa Maria Valley, Central Coast, California","41","D","91",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","lFXCzLByV2FSWLbGOZPr","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Lumen Pinot Noir 2018","https://www.wine.com/product/lumen-pinot-noir-2018/940511"
"Bordeaux Red Blends",17,"Red Mountain, Yakima Valley, Columbia Valley, Washington","29","JD","90",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","dKrK4zp41RMAO1uIGq0E","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Cadence Coda 2020","https://www.wine.com/product/cadence-coda-2020/1256682"
"Pinot Noir",18,"Willamette Valley, Oregon","89","D","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","gma3BMLyffkEKgCgvLI0","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Chapter 24 Last Chapter Pinot Noir 2021","https://www.wine.com/product/chapter-24-last-chapter-pinot-noir-2021/1508149"
"Pinot Noir",18,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France","154","WE","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","OoFoVra2gqJqjHjWmYSr","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Domaine Confuron-Cotetidot Gevrey-Chambertin Craipillot Premier Cru 2019","https://www.wine.com/product/domaine-confuron-cotetidot-gevrey-chambertin-craipillot-premier-cru-2019/973918"
"Nebbiolo",19,"Roero, Piedmont, Italy","55","JM","91",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","ooFTV6gT0vKIXW7ADCEO","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Matteo Correggia Roche d'Ampsej Roero Riserva 2017","https://www.wine.com/product/matteo-correggia-roche-dampsej-roero-riserva-2017/1186358"
"Sangiovese",19,"Montalcino, Tuscany, Italy","72","W&S","91",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","5ead2tKKioWkW7WY8hvk","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"La Gerla Brunello di Montalcino 2017","https://www.wine.com/product/la-gerla-brunello-di-montalcino-2017/1140353"
"Bordeaux Red Blends",20,"Bolgheri, Tuscany, Italy","44","WE","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","J9ju1VZ7fi0LdkV7x1Uk","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Poggio al Tesoro Il Seggio 2020","https://www.wine.com/product/poggio-al-tesoro-il-seggio-2020/1341630"
"Tannat",20,"Uruguay","20","W&S","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","BnS62HUdSz3nw5LpbjXC","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Bodega Garzon Uruguay Reserva Tannat 2021","https://www.wine.com/product/bodega-garzon-uruguay-reserva-tannat-2021/1542017"
"Cabernet Sauvignon",21,"Alexander Valley, Sonoma County, California","23","RP","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","PH01ydKKtAfPvrQh1FqH","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Sebastiani Alexander Valley Cabernet Sauvignon 2021","https://www.wine.com/product/sebastiani-alexander-valley-cabernet-sauvignon-2021/1643291"
"Tempranillo",21,"Rioja, Spain","35","RP","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","0jxgyG6wA9ZRadOWYFgk","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Villota Rioja 2020","https://www.wine.com/product/villota-rioja-2020/1508085"
"Cabernet Sauvignon",22,"Alexander Valley, Sonoma County, California","44","JD","92",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","mGLx1atcKO86UL2Kx4WG","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Hanna Cabernet Sauvignon 2020","https://www.wine.com/product/hanna-cabernet-sauvignon-2020/1215010"
"Bordeaux Red Blends",22,"Napa Valley, California","80","JS","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","YoSrTzIaj7EVzMylvj2u","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"David Arthur Proprietary Red 2018","https://www.wine.com/product/david-arthur-proprietary-red-2018/792465"
"Sangiovese",23,"Montalcino, Tuscany, Italy","69","TP","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","q2orqZ9I5DrIfXImx6ra","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Fanti Vallocchio Brunello di Montalcino 2017","https://www.wine.com/product/fanti-vallocchio-brunello-di-montalcino-2017/971122"
"Bordeaux Red Blends",23,"Oakville, Napa Valley, California","149","WS","90",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","9lVZ4LTiGgmKUgy2rKxO","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Opus One Overture","https://www.wine.com/product/opus-one-overture/134096"
"Other Red Blends",24,"Maipo Valley, Chile","25","WS","90",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","f7ARDzN0QS0qMm8G0GB5","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Vina San Pedro 1865 Master Blend 2020","https://www.wine.com/product/vina-san-pedro-1865-master-blend-2020/1233053"
"Bordeaux Red Blends",24,"Fronsac, Bordeaux, France","19","WS","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","YpSkyrnfYnKyPbzMkFte","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Chateau Clos du Roy 2020","https://www.wine.com/product/chateau-clos-du-roy-2020/748168"
"Syrah/Shiraz",25,"Barossa Valley, Barossa, South Australia, Australia","23","V","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","fUGqAifpXFOPKraAKJjw","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Dandelion Vineyards Lionheart of the Barossa Shiraz 2021","https://www.wine.com/product/dandelion-vineyards-lionheart-of-the-barossa-shiraz-2021/1321591"
"Sangiovese",25,"Tuscany, Italy","38","JD","91",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","SoLlFR9oHkU1QDqGFy8g","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Tua Rita Perlato del Bosco 2019","https://www.wine.com/product/tua-rita-perlato-del-bosco-2019/1160079"
"Pinot Noir",26,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France","200","JD","92",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","y6qH4LRp5KULj1XqwEtR","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Aurelien Verdet Nuits-Saint-Georges Aux Boudots Premier Cru 2016","https://www.wine.com/product/aurelien-verdet-nuits-saint-georges-aux-boudots-premier-cru-2016/539545"
"Cabernet Franc",26,"Napa Valley, California","89","TP","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","WXCqEHlNFwbcrVJrJGO5","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Lang & Reed Two-Fourteen Cabernet Franc 2017","https://www.wine.com/product/lang-and-reed-two-fourteen-cabernet-franc-2017/954019"
"Pinot Noir",27,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France","99","WE","90",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","ToeSce9aj9UA0BEJ7JoO","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Domaine de Bellene Nuits-St-Georges Vieilles Vignes 2018","https://www.wine.com/product/domaine-de-bellene-nuits-st-georges-vieilles-vignes-2018/1034917"
"Cabernet Sauvignon",27,"Sonoma Valley, Sonoma County, California","75","JS","92",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","Et6YmZO7BzCMS0GF1pp4","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Far Mountain Fission Cabernet Sauvignon 2020","https://www.wine.com/product/far-mountain-fission-cabernet-sauvignon-2020/1572927"
"Montepulciano",28,"Abruzzo, Italy","74","JS","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","X2jps4R7AUv5CxeCSxNz","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"La Valentina Bellovedere Montepulciano d'Abruzzo Terre dei Vestini Riserva 2019","https://www.wine.com/product/la-valentina-bellovedere-montepulciano-dabruzzo-terre-dei-vestini-riserva-2019/1405444"
"Cabernet Sauvignon",28,"Alexander Valley, Sonoma County, California","39","W&S","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","60TsXl7yxedO6fcI6LVm","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Outerbound Cabernet Sauvignon 2019","https://www.wine.com/product/outerbound-cabernet-sauvignon-2019/1126706"
"Cabernet Sauvignon",29,"Dry Creek Valley, Sonoma County, California","99","JM","92",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","ZibYHFvEdiQRVQX4wEJk","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Dry Creek Vineyard Endeavour Cabernet Sauvignon 2019","https://www.wine.com/product/dry-creek-vineyard-endeavour-cabernet-sauvignon-2019/1169640"
"Syrah/Shiraz",29,"Walker Bay, South Africa","22","V","91",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","YyFcxy6CbrD1KM49plFT","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Gabrielskloof Whole Bunch Syrah 2021","https://www.wine.com/product/gabrielskloof-whole-bunch-syrah-2021/1223903"
"Merlot",30,"Bolgheri, Tuscany, Italy","66","JS","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","eJLfAgh1Xw2CksbQXZ0T","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Bell 'Aja Bolgheri Superiore 2019","https://www.wine.com/product/bell-aja-bolgheri-superiore-2019/1234132"
"Other Red Blends",30,"Los Angeles, California","100","V","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","YfShLSv76q37qJsuwMjX","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Byron Blatty Evenfall 2016","https://www.wine.com/product/byron-blatty-evenfall-2016/596169"
"Pinot Noir",31,"Hawkes Bay, New Zealand","58","RP","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","K3XCDCutoAZVD8VpmPcG","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Te Mata Alma Pinot Noir 2020","https://www.wine.com/product/te-mata-alma-pinot-noir-2020/1511024"
"Pinot Noir",31,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France","249","WE","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","8ZVgCMn0GtLmjMrxWASH","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Bouchard Pere & Fils Gevrey-Chambertin Les Cazetiers Premier Cru 2018","https://www.wine.com/product/bouchard-pere-and-fils-gevrey-chambertin-les-cazetiers-premier-cru-2018/669396"
"Cabernet Sauvignon",32,"Napa Valley, California","65","JS","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","j0KDi48zPcMhTtxf1Q7t","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Stags' Leap Winery Napa Valley Cabernet Sauvignon 2020","https://www.wine.com/product/stags-leap-winery-napa-valley-cabernet-sauvignon-2020/1219047"
"Other Red Blends",32,"Sicily, Italy","32","WS","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","0lehlDem7f8ocDb2roRM","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Nicosia Etna Rosso Contrada Monte Gorna 2020","https://www.wine.com/product/nicosia-etna-rosso-contrada-monte-gorna-2020/1543431"
"Nebbiolo",33,"Barolo, Piedmont, Italy","74","JD","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","l1fv4gy8rgjWKfSubh0S","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Mauro Veglio Barolo Vigneto Gattera 2019","https://www.wine.com/product/mauro-veglio-barolo-vigneto-gattera-2019/1836401"
"Pinot Noir",33,"Sta. Rita Hills, Santa Barbara, Central Coast, California","79","RP","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","3eDBleeSU2y14B94zaIG","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Ken Brown Rita's Crown Vineyard Pinot Noir 2018","https://www.wine.com/product/ken-brown-ritas-crown-vineyard-pinot-noir-2018/1433956"
